Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
61,43.117635487099676,12.663792520269281,Japanese,36.23613252393598,0,45,
24,40.02007699061254,4.577892096932272,Italian,17.95256243749612,0,36,
81,41.98148523678063,4.6529107712536195,Japanese,22.600420287336984,1,91,
70,43.00530706771189,4.416052595712783,Italian,18.984097602995394,1,59,
30,17.456199471525764,3.475051913,Italian,12.766142708740048,1,30,
92,19.42766984259999,13.114473451233126,American,43.099949665426934,1,10,
96,35.35034254880709,16.96031770498803,American,20.181621716866445,0,86,
84,46.31464521850064,14.486349393533224,Italian,28.921100133720827,1,1,
84,22.647863291859785,15.841872675210864,American,11.732610930172477,0,26,
97,33.53226703180226,8.095968581703996,Italian,37.97357865010572,0,98,
33,37.31928253668529,13.081515907439963,Mexican,23.22244009225163,0,1,
12,28.07794405196157,7.084724808895491,American,39.789469113168394,0,20,
31,38.55129819421304,10.51009244,American,26.496122418714645,0,57,
62,45.98669781168692,9.632696930697247,American,17.830224256224984,0,4,
11,34.964061767273506,3.537742902877088,Mexican,30.527003291281435,0,51,
97,31.59124247658532,7.741575206712616,Italian,15.22018238549759,1,44,
39,27.54978701553356,19.27644550964702,Japanese,27.62156639491979,0,84,
47,33.099450836245026,4.9716051542988415,American,22.69221909681946,1,92,
11,24.214498072735836,2.6760747255897743,Italian,46.47838336798533,1,19,
73,25.659284408060078,8.371612432478706,Mexican,12.437148868828798,0,60,
69,31.27429918752696,15.806754717202962,Japanese,37.76069656422968,0,37,
30,12.664764495632678,11.642964595599445,American,17.310046639497436,1,19,
42,19.161015636991856,13.61949654476489,Mexican,22.761802973289594,1,24,
85,31.713972424536358,3.7938969634935438,Mexican,26.620562522482636,1,1,
67,27.261125725457703,12.37896386015443,Japanese,46.32060357499897,1,31,
31,23.312631436499373,6.4700078982294755,Italian,19.703130642953006,0,25,
98,39.22196547237206,16.68606731909535,American,13.652352101786809,0,69,
58,37.74870429613354,12.585976120214724,American,22.747584159620942,0,40,
